Price,Close,High,Low,Open,Volume
Ticker,AAF.L,AAF.L,AAF.L,AAF.L,AAF.L
09-09-2019,60.47915649,62.97211424,59.83098596,62.97211424,694140
10-09-2019,57.33801651,59.85590484,56.88928345,57.687029,1028861
11-09-2019,55.64281082,59.32241854,54.84506518,57.83661419,2098293
12-09-2019,55.34365845,56.93914978,54.89492532,55.79239157,1172569
13-09-2019,54.84506607,57.03886947,53.89774144,54.34647456,469828
14-09-2019,,,,,
15-09-2019,,,,,
16-09-2019,55.04450607,56.83943483,53.00028155,55.34366023,1749072
17-09-2019,53.9974556,54.89491793,52.90055212,53.84787664,1161008
18-09-2019,56.78957748,57.88647736,53.84788662,57.18844844,2435143
19-09-2019,59.73126602,62.52337779,58.03605408,59.48197026,2157416
20-09-2019,58.83380127,62.87239195,58.83380127,62.27408363,94490455
21-09-2019,,,,,
22-09-2019,,,,,
23-09-2019,52.85070038,59.43210683,50.4076012,59.33239005,2779776
24-09-2019,53.34928894,56.09154211,51.85351448,54.34647191,2114635
25-09-2019,49.16112518,54.35146495,48.01436692,53.59859066,3061148
26-09-2019,49.85915375,50.47142257,46.86760452,46.86760452,1232997
27-09-2019,50.35774231,50.90619221,49.8591508,49.8591508,1810066
28-09-2019,,,,,
29-09-2019,,,,,
30-09-2019,50.65689468,59.83097887,50.65689468,59.83097887,679865
01-10-2019,48.62264252,51.2053467,47.62545949,48.32348837,402768
02-10-2019,48.66253662,49.3805097,48.3234942,48.46309923,563362
03-10-2019,50.30788422,50.70675514,48.66253071,48.66253071,715561
04-10-2019,50.00873184,52.05295635,48.36337828,48.8619698,930289
05-10-2019,,,,,
06-10-2019,,,,,
07-10-2019,51.50450516,52.65126336,48.9816295,51.70393872,373098
08-10-2019,49.69960785,51.30507331,48.86197386,49.06141125,496146
09-10-2019,50.80647278,52.15266826,49.61982262,52.05295148,415135
10-10-2019,52.60140991,53.49887625,51.00591843,51.05577683,883678
11-10-2019,53.34928894,54.04731778,51.354923,51.354923,1164543
12-10-2019,,,,,
13-10-2019,,,,,
14-10-2019,55.54309464,55.54309464,48.8819118,51.454642,1940007
15-10-2019,55.84225082,58.684221,53.08005332,55.3436593,1276426
16-10-2019,56.68985367,56.98901162,53.94760034,55.89210801,1387747
17-10-2019,58.43492508,59.73126608,53.59858882,57.38788364,1913742
18-10-2019,58.28534698,62.32393737,57.58731813,58.83379687,1403207
19-10-2019,,,,,
20-10-2019,,,,,
21-10-2019,57.33801651,61.02759399,55.49322967,61.02759399,1348233
22-10-2019,56.54027939,59.78112428,52.50168882,59.58168691,875375
23-10-2019,54.84506607,56.73971533,53.19971257,56.73971533,1017669
24-10-2019,55.84225082,56.46549023,54.14703888,56.39070074,819681
25-10-2019,60.32956696,61.82534134,55.94196056,55.94196056,1452436
26-10-2019,,,,,
27-10-2019,,,,,
28-10-2019,62.42366028,64.30733909,56.34084492,58.3850695,1406444
29-10-2019,62.37379837,63.98823719,60.62872805,62.32393998,927658
30-10-2019,64.01914978,67.53222834,60.32957548,63.96929519,3281328
31-10-2019,63.32112122,66.95086677,62.17435923,66.91097853,2035445
01-11-2019,64.56759644,66.31266661,63.12168039,66.31266661,774191
02-11-2019,,,,,
03-11-2019,,,,,
04-11-2019,66.26280975,67.55915074,60.99768454,67.55915074,1006242
05-11-2019,65.36534882,66.81126113,65.06619087,66.81126113,462990
06-11-2019,66.1631012,67.26000115,65.11606344,65.11606344,229093
07-11-2019,66.41238403,66.89003857,65.81407578,65.81407578,536947
08-11-2019,65.86393738,68.60619051,64.31830075,66.41238344,701482
09-11-2019,,,,,
10-11-2019,,,,,
11-11-2019,67.21013641,67.65886573,65.6644997,66.36253238,555553
12-11-2019,70.30140686,70.30140686,65.86394522,67.80844917,1132705
13-11-2019,70.30140686,71.24872774,65.86394522,66.71154931,1408396
14-11-2019,66.44065094,71.63818455,63.94663245,68.53562495,2398012
15-11-2019,67.78743744,69.48337503,64.79461446,69.33373236,1653523
16-11-2019,,,,,
17-11-2019,,,,,
18-11-2019,69.08433533,69.57915095,65.39318977,69.48337994,1053150
19-11-2019,68.83491516,69.78263921,66.29101308,69.78263921,2050048
20-11-2019,71.07954407,71.07954407,67.93707849,68.88481031,2414252
21-11-2019,69.68289185,71.82774979,66.93947085,71.82774979,1431946
22-11-2019,70.78025818,73.6334166,69.83253398,69.8824174,1621574
23-11-2019,,,,,
24-11-2019,,,,,
