Price,Close,High,Low,Open,Volume
Ticker,AAF.L,AAF.L,AAF.L,AAF.L,AAF.L
Date,,,,,
2019-06-28,67.60902404785156,76.78310645075406,66.81127444416262,76.78310645075406,64367704
2019-07-01,70.80000305175781,74.16051297770767,67.8583158272758,67.8583158272758,16286773
2019-07-02,71.79718017578125,72.29577170477974,71.79718017578125,71.91684488158596,3565649
2019-07-03,71.89688110351562,72.79434717936199,71.82707860916653,72.79434717936199,6511595
2019-07-04,72.196044921875,72.91401784146268,72.05643992172206,72.91401784146268,269558
2019-07-05,73.0935287475586,73.79155391712666,72.19606238103981,72.22597665860648,3240264
2019-07-08,72.7145767211914,73.77159579006545,72.2957617205687,73.1034774514699,4795152
2019-07-09,72.29576873779297,72.79436024632948,72.29576873779297,72.79436024632948,1505361
2019-07-10,71.79718017578125,72.74450103771717,71.79718017578125,72.34563390084077,3195083
2019-07-11,71.79718017578125,72.29577170477974,71.79718017578125,71.89689696000035,723072
2019-07-12,71.29857635498047,71.79716779802229,71.29857635498047,71.79716779802229,2414976
2019-07-15,71.34844970703125,71.89689581545696,71.34844970703125,71.747316837558,258309
2019-07-16,71.49800872802734,71.69744986674647,71.29857519720974,71.29857519720974,544072
2019-07-17,70.60054779052734,71.59773062594213,70.5506856055961,71.34843491708844,1559200
2019-07-18,69.80281066894531,70.6504147054877,69.55351491655622,70.6504147054877,2009704
2019-07-19,70.25154876708984,70.75014033423145,69.70310260797622,70.55070675053622,201213
2019-07-22,70.00224304199219,70.50083453832518,69.55351373845347,70.05210523478648,825163
2019-07-23,69.30420684814453,69.70308150266375,69.10477332483555,69.65321931788587,2088489
2019-07-24,69.30420684814453,69.75293607954036,69.10477332483555,69.65321931788587,1497731
2019-07-25,69.30420684814453,69.40392360979902,68.65603648553846,69.30420684814453,824964
2019-07-26,68.30703735351562,70.75013272664816,68.30703735351562,70.50083696988351,1004050
2019-07-29,69.30420684814453,69.30420684814453,68.00786612293241,69.25434466336667,274267
2019-07-30,68.8056411743164,69.30423277702884,68.00789156681488,69.30423277702884,285799
2019-07-31,68.70591735839844,68.80563414717601,68.23724008245024,68.80563414717601,66584
2019-08-01,68.85548400878906,69.25435109243493,68.15745139660488,68.80562181938235,539334
2019-08-02,68.35690307617188,71.29859011466462,67.85831153690849,71.29859011466462,753783
2019-08-05,67.30986785888672,69.50366791631096,65.81409301757813,69.50366791631096,1779142
2019-08-06,66.8112564086914,67.80843934016441,66.31266494295491,67.80843934016441,295951
2019-08-07,66.8112564086914,67.55914360729616,66.8112564086914,66.8112564086914,507740
2019-08-08,67.30986785888672,67.80845947265625,66.86113844965585,67.80845947265625,1022027
2019-08-09,66.8112564086914,67.80843934016441,64.01914115740618,67.80843934016441,386796
2019-08-12,65.91378784179688,67.25998322854572,64.96646713465184,67.25998322854572,123280
2019-08-13,66.8112564086914,67.25998568469346,66.16308598165355,66.16308598165355,356805
2019-08-14,66.6118392944336,66.81127288675489,66.0633855036942,66.31268129804776,253223
2019-08-15,65.81407928466797,66.81126230413263,65.66450031016772,66.3126707944003,1351846
2019-08-16,65.81407928466797,66.86112449826693,63.271263345823336,66.86112449826693,907815
2019-08-19,66.8112564086914,69.30421373737393,65.61463993408461,69.30421373737393,502565
2019-08-20,67.30986785888672,68.35691329096444,65.86395522211679,65.86395522211679,1718000
2019-08-21,67.30986785888672,69.75296372319572,66.81127624511718,67.30986785888672,2466880
2019-08-22,67.65885925292969,70.94956591518968,66.8112552968633,66.8112552968633,995434
2019-08-23,67.75857543945312,67.80843762792851,66.06336754191564,67.50927971287986,1004693
2019-08-27,66.51210021972656,67.90815788175742,64.66731326999754,64.81689223519766,2164463
2019-08-28,67.55915832519531,68.1574666928414,66.51211297588691,67.80845411237316,712688
2019-08-29,67.55915832519531,67.80845411237316,66.61183737708097,66.61183737708097,1250859
2019-08-30,66.8112564086914,69.20449696580702,66.46224390425625,69.20449696580702,3685787
2019-09-02,67.65885925292969,67.80843821174184,65.86393457088941,67.80843821174184,263692
